City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
79,Mahebourg,-20.4081,57.7,80.26,83,75,11.5,MU,broken clouds
80,Busselton,-33.65,115.3333,62.58,81,51,16.98,AU,broken clouds
81,Sola,-13.8833,167.55,79.29,72,100,9.6,VU,overcast clouds
82,Arraial Do Cabo,-22.9661,-42.0278,80.46,78,20,9.22,BR,few clouds
83,Beringovskiy,63.05,179.3167,-4.9,86,49,15.26,RU,scattered clouds
84,Oyem,1.5995,11.5793,67.6,98,100,4.12,GA,overcast clouds
85,Talnakh,69.4865,88.3972,-0.22,98,86,5.95,RU,overcast clouds
86,Punta Arenas,-53.15,-70.9167,46.11,61,31,25.7,CL,scattered clouds
87,Avarua,-21.2078,-159.775,78.85,89,100,3.44,CK,overcast clouds
88,Carnarvon,-24.8667,113.6333,77.07,83,40,12.66,AU,scattered clouds
89,Iberia,29.9502,-91.7507,83.05,34,0,4.7,US,clear sky
90,Eugene,44.0521,-123.0867,59.81,55,75,5.99,US,broken clouds
91,Rzhev,56.2624,34.3282,23.09,91,99,5.88,RU,overcast clouds
92,Saint Anthony,45.0205,-93.218,43.25,70,100,8.05,US,light snow
93,Kamenka,51.3223,42.7678,40.39,86,100,6.62,RU,light rain
94,Kapoeta,4.7717,33.5903,85.24,39,98,4.65,SS,overcast clouds
95,Kavaratti,10.5669,72.642,82.31,72,71,7.0,IN,broken clouds
96,Biak,-0.9131,122.8766,76.44,86,100,2.33,ID,overcast clouds
97,San Quintin,30.4833,-115.95,63.66,58,30,11.36,MX,scattered clouds
98,Castro,-24.7911,-50.0119,71.73,80,69,4.59,BR,broken clouds
99,Ohara,35.25,140.3833,53.92,84,100,16.58,JP,light rain
100,Vao,-22.6667,167.4833,79.11,87,88,19.28,NC,overcast clouds
101,Olga,43.7444,135.2892,36.21,65,0,4.79,RU,clear sky
102,Douglas,41.3,-96.167,66.07,46,100,17.27,US,overcast clouds
103,Narsaq,60.9167,-46.05,41.22,76,100,4.41,GL,overcast clouds
104,Phultala,22.7,89.5167,78.48,85,18,13.18,BD,few clouds
105,Kobelyaky,49.1489,34.1965,36.73,88,100,10.6,UA,overcast clouds
106,Grandola,38.1772,-8.5668,55.35,43,61,9.44,PT,broken clouds
107,Ambilobe,-13.2,49.05,73.2,97,99,2.21,MG,light rain
108,Lorengau,-2.0226,147.2712,80.06,77,100,0.92,PG,overcast clouds
109,Hobart,-42.8794,147.3294,57.06,93,75,6.91,AU,light intensity drizzle
110,Guarapari,-20.6667,-40.4975,81.9,79,37,3.96,BR,scattered clouds
111,Port Hardy,50.6996,-127.4199,42.57,81,87,8.28,CA,light rain
112,Lagoa,39.05,-27.9833,58.95,82,0,19.17,PT,clear sky
113,Tateyama,34.9833,139.8667,48.13,87,75,11.5,JP,shower rain
114,Tungor,53.3808,142.9564,32.5,82,92,11.79,RU,overcast clouds
115,Zhigansk,66.7697,123.3711,2.03,98,98,9.1,RU,overcast clouds
116,Mataura,-46.1927,168.8643,46.13,95,98,2.01,NZ,overcast clouds
117,Luderitz,-26.6481,15.1594,60.57,87,0,5.82,NA,clear sky
118,Hermanus,-34.4187,19.2345,61.81,87,1,8.59,ZA,clear sky
119,Katsuura,35.1333,140.3,48.22,87,100,18.01,JP,moderate rain
120,Yellowknife,62.456,-114.3525,20.41,74,98,14.63,CA,overcast clouds
121,Guerrero Negro,27.9769,-114.0611,65.97,53,31,14.65,MX,scattered clouds
122,Tiksi,71.6872,128.8694,4.77,98,100,8.01,RU,overcast clouds
123,Callaguip,18.0714,120.4867,78.82,77,100,18.7,PH,overcast clouds
124,Georgetown,5.4112,100.3354,78.73,83,20,0.0,MY,few clouds
125,San Patricio,28.017,-97.5169,88.16,43,0,14.03,US,clear sky
126,Tsiroanomandidy,-18.7667,46.0333,64.53,80,0,1.34,MG,clear sky
127,Crateus,-5.1783,-40.6775,81.39,66,90,3.47,BR,overcast clouds
128,Atar,20.5169,-13.0499,77.85,16,0,9.86,MR,clear sky
129,Namatanai,-3.6667,152.4333,78.37,85,100,2.39,PG,light rain
130,Prince Rupert,54.3161,-130.3201,41.61,77,93,14.32,CA,light rain
131,Nam Dinh,20.4167,106.1667,62.42,68,81,3.6,VN,broken clouds
132,Saint-Philippe,-21.3585,55.7679,74.79,91,100,13.73,RE,heavy intensity rain
133,Yulara,-25.2406,130.9889,59.09,32,0,8.25,AU,clear sky
134,Ndago,-4.6,34.35,65.37,76,89,6.17,TZ,overcast clouds
135,Saint-Paul,-21.0096,55.2707,75.31,81,100,4.29,RE,light rain
136,Madang,-5.2246,145.7966,75.92,92,100,2.51,PG,overcast clouds
137,Son Tay,21.1378,105.505,62.53,70,4,1.83,VN,clear sky
138,Kodiak,57.79,-152.4072,36.91,75,100,9.22,US,light snow
139,Ninohe,40.2724,141.3061,38.25,92,43,4.97,JP,light rain
140,Port Alfred,-33.5906,26.891,68.18,91,98,19.51,ZA,overcast clouds
141,Dingle,10.9995,122.6711,75.43,86,100,6.98,PH,overcast clouds
142,Okhotsk,59.3833,143.3,17.02,92,100,8.77,RU,overcast clouds
143,The Valley,18.217,-63.0578,82.54,65,40,12.66,AI,scattered clouds
144,Te Anau,-45.4167,167.7167,46.22,75,69,0.94,NZ,broken clouds
145,Bintulu,3.1667,113.0333,75.27,93,36,4.14,MY,scattered clouds
146,Margate,51.3813,1.3862,42.69,65,57,1.99,GB,broken clouds
147,Menongue,-14.6585,17.691,63.25,96,81,3.78,AO,broken clouds
148,Port-Gentil,-0.7193,8.7815,81.12,80,30,7.4,GA,scattered clouds
149,Qasigiannguit,68.8193,-51.1922,30.45,91,21,6.4,GL,few clouds
150,La Palma,33.8464,-118.0467,70.29,65,100,5.75,US,overcast clouds
151,Padang,-0.9492,100.3543,75.87,86,31,4.38,ID,scattered clouds
152,Colares,38.7992,-9.4469,56.28,51,20,20.0,PT,few clouds
153,Puerto Ayora,-0.7393,-90.3518,85.96,93,45,3.0,EC,scattered clouds
154,Montepuez,-13.1256,38.9997,68.76,99,34,3.6,MZ,scattered clouds
155,Santiago Del Estero,-27.7951,-64.2615,83.26,33,0,2.37,AR,clear sky
156,Keita,14.7551,5.7749,86.32,5,73,5.35,NE,broken clouds
157,Ancud,-41.8697,-73.8203,50.23,67,81,8.99,CL,broken clouds
158,Road Town,18.4167,-64.6167,82.49,65,40,10.36,VG,scattered clouds
