City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kaspiyskiy,RU,2022-04-03 10:27:12,45.3929,47.3707,70.48,39,10,7.54
67,Leh,IN,2022-04-03 10:27:12,34.1667,77.5833,39.79,38,84,5.03
68,Manyana,BW,2022-04-03 10:27:12,-23.4,21.7167,77.63,50,79,13.47
69,Mataura,NZ,2022-04-03 10:27:13,-46.1927,168.8643,49.26,93,66,2.53
70,Sakakah,SA,2022-04-03 10:27:13,29.9697,40.2064,96.37,8,100,3.49
71,Kinablangan,PH,2022-04-03 10:27:13,7.6947,126.5503,79.0,82,100,5.77
72,Coolum Beach,AU,2022-04-03 10:27:14,-26.5333,153.1,74.1,89,6,5.39
73,Sharan,RU,2022-04-03 10:27:14,54.8167,54.0,44.31,98,75,17.69
74,Port Alfred,ZA,2022-04-03 10:22:30,-33.5906,26.891,76.17,81,99,5.99
75,Gwadar,PK,2022-04-03 10:27:14,25.1216,62.3254,83.57,49,28,7.38
76,Komsomolskiy,UZ,2022-04-03 10:27:14,40.4272,71.7189,74.12,31,0,4.61
77,Tyukhtet,RU,2022-04-03 10:27:15,56.5389,89.3011,28.89,88,100,5.93
78,Bull Savanna,JM,2022-04-03 10:27:15,17.8868,-77.5902,70.77,86,6,5.06
79,Kabompo,ZM,2022-04-03 10:27:15,-13.5927,24.2008,72.99,79,81,5.86
80,Tutoia,BR,2022-04-03 10:27:16,-2.7619,-42.2744,75.22,89,70,6.76
81,Karasjok,NO,2022-04-03 10:27:16,69.4719,25.5112,25.0,81,96,12.55
82,Santa Maria,BR,2022-04-03 10:22:29,-29.6842,-53.8069,61.9,100,75,8.05
83,Bom Jesus,BR,2022-04-03 10:27:16,-9.0744,-44.3586,73.62,73,66,1.95
84,Sao Joaquim,BR,2022-04-03 10:27:17,-28.2939,-49.9317,54.1,94,95,6.93
85,Padang,ID,2022-04-03 10:27:17,-0.9492,100.3543,84.25,66,73,5.19
